Epochs,InfRange,AcceptRatio,RejectRatio,Split_1,Split_2,Mean,Std,MeanTime,StdTime
50,0.75,0.75,0.3,0.81836862410098,1.06144606018456,0.93990734214277,0.171881703408139,2.6825194,0.0141110229253588
50,0.75,0.5,0.3,0.81836862410098,1.06144606018456,0.93990734214277,0.171881703408139,3.54318075,0.0464060745463889
50,0.5,0.5,0.45,0.917501889079201,1.00240037481073,0.959951131944968,0.0600322949732371,11.73888925,1.51275263999738
50,0.5,0.75,0.45,0.917501889079201,1.00240037481073,0.959951131944968,0.0600322949732371,16.7569879,2.70932446268618
50,0.75,0.5,0.15,1.05984499266718,0.866517180943411,0.963181086805298,0.136703406661836,9.83245745,0.666594724504061
50,0.75,0.25,0.15,1.05984499266718,0.866517180943411,0.963181086805298,0.136703406661836,10.3266842,0.631572220606639
50,0.75,0.75,0.15,1.05984499266718,0.866517180943411,0.963181086805298,0.136703406661836,11.93550545,0.64030322158734
25,0.75,0.75,0.3,1.00367358979815,1.066565075407,1.03511933260257,0.0444709959529115,2.053438,0.294498094970273
25,0.75,0.5,0.3,1.00367358979815,1.066565075407,1.03511933260257,0.0444709959529115,2.2626039,0.0546213118408922
25,0.75,0.25,0.15,1.05984499266718,1.01950084494423,1.03967291880571,0.0285276204360954,5.09144815,0.309725710213804
25,0.75,0.75,0.15,1.05984499266718,1.01950084494423,1.03967291880571,0.0285276204360954,5.09526655,0.378802264561136
25,0.75,0.5,0.15,1.05984499266718,1.01950084494423,1.03967291880571,0.0285276204360954,5.46747375,0.217360594028092
25,0.5,0.5,0.45,1.0677718054619,1.18928532536328,1.12852856541259,0.0859230339281143,7.0621523,1.26602250723406
25,0.5,0.75,0.45,1.0677718054619,1.18928532536328,1.12852856541259,0.0859230339281143,7.8048523,2.23713156497458
10,0.75,0.5,0.3,1.14879462196297,1.11197869481099,1.13038665838698,0.0260327917448382,0.74428465,0.00193047222331736
10,0.75,0.75,0.3,1.14879462196297,1.11197869481099,1.13038665838698,0.0260327917448382,0.9018158,0.0118741613337532
10,0.75,0.5,0.15,1.08591366322945,1.18548312439974,1.13569839381459,0.0704062411926025,1.82957135,0.0138935875901438
10,0.75,0.25,0.15,1.08591366322945,1.18548312439974,1.13569839381459,0.0704062411926025,2.0002706,0.0297329916207568
10,0.75,0.75,0.15,1.08591366322945,1.18548312439974,1.13569839381459,0.0704062411926025,2.02226995,0.135736429848604
10,0.5,0.5,0.45,1.14831577094444,1.28092221409968,1.21461899252206,0.0937669151841021,3.04454425,0.524039734675153
10,0.5,0.75,0.45,1.14831577094444,1.28092221409968,1.21461899252206,0.0937669151841021,3.9442582,0.501821237528744
50,0.75,0.5,0.45,1.4434799138366,1.45344864081902,1.44846427732781,0.00704895444906603,1.10819995,0.00327029815230969
50,0.75,0.75,0.45,1.4434799138366,1.45344864081902,1.44846427732781,0.00704895444906603,1.63958605,0.00649116954061448
25,0.75,0.5,0.45,1.4434799138366,1.52412171471952,1.48380081427806,0.0570223642514121,0.7895777,0.0489636090632625
25,0.75,0.75,0.45,1.4434799138366,1.52412171471952,1.48380081427806,0.0570223642514121,0.94319125,0.0283539212654088
10,0.75,0.75,0.45,1.79430436412067,1.74595883160319,1.77013159786193,0.0341854538831889,0.3884506,0.0108996267679219
10,0.75,0.5,0.45,1.79430436412067,1.74595883160319,1.77013159786193,0.0341854538831889,0.4569633,0.0113817321713349
50,0.25,0.25,0.15,1.87268685372481,2.08889002720574,1.98078844046528,0.152878730082416,2248.32546675,1041.12196324105
25,0.25,0.25,0.15,1.87268685372481,2.08915021369767,1.98091853371124,0.153062709715229,1621.15587735,97.2115622122219
10,0.25,0.25,0.15,1.8724894775146,2.09183466549667,1.98216207150563,0.155100469842763,619.42531285,24.1549268150689
50,0.25,0.75,0.15,1.872576934657,2.09195706089244,1.98226699777472,0.155125174918642,2213.6118432,1029.8602404548
50,0.25,0.5,0.15,1.872576934657,2.09195706089244,1.98226699777472,0.155125174918642,2216.77916805,984.185057569689
25,0.25,0.5,0.15,1.87191357205786,2.09321788568938,1.98256572887362,0.156485780874682,1592.3274306,85.8733588979406
25,0.25,0.75,0.15,1.87191357205786,2.09321788568938,1.98256572887362,0.156485780874682,1593.4842412,78.5908955741425
10,0.25,0.75,0.15,1.88009788285662,2.09265243056121,1.98637515670892,0.150298762053957,609.3208857,17.5164059086181
10,0.25,0.5,0.15,1.88009788285662,2.09265243056121,1.98637515670892,0.150298762053957,616.46366775,22.1046154072682
50,0.25,0.5,0.3,1.88685886856103,2.09195706089244,1.98940796472674,0.145026322606646,2974.741395,319.476878189353
50,0.25,0.75,0.3,1.88685886856103,2.09195706089244,1.98940796472674,0.145026322606646,2999.42662305,324.393630004639
10,0.25,0.5,0.3,1.88685886856103,2.09265243056121,1.98975564956112,0.145518023214863,608.5814997,26.8061200999844
10,0.25,0.75,0.3,1.88685886856103,2.09265243056121,1.98975564956112,0.145518023214863,655.80298215,46.7394391191405
25,0.25,0.5,0.3,1.88685886856103,2.09321788568938,1.99003837712521,0.145917860370447,1576.71057145,63.5718266971915
25,0.25,0.75,0.3,1.88685886856103,2.09321788568938,1.99003837712521,0.145917860370447,1598.6768915,103.084143497656
50,0.25,0.75,0.45,2.03148931083076,2.33782938752214,2.18465934917645,0.216615145577683,1645.6485872,714.820184374179
50,0.25,0.5,0.45,2.03148931083076,2.33782938752214,2.18465934917645,0.216615145577683,2569.65103815,362.298461372575
25,0.25,0.5,0.45,2.03148931083076,2.33984810860906,2.18566870971991,0.218042596947573,1352.3946466,45.1749708104873
25,0.25,0.75,0.45,2.03148931083076,2.33984810860906,2.18566870971991,0.218042596947573,1362.87421925,60.1691766816412
10,0.25,0.5,0.45,2.03148931083076,2.34435534013489,2.18792232548282,0.22122969092386,520.72312545,4.92283576203141
10,0.25,0.75,0.45,2.03148931083076,2.34435534013489,2.18792232548282,0.22122969092386,539.44641295,0.705385471149102
25,0.5,0.75,0.3,3.12807434746284,3.91461435914637,3.52134435330461,0.556167775935975,28.39535215,1.56479329492965
25,0.5,0.5,0.3,3.12807434746284,3.91461435914637,3.52134435330461,0.556167775935975,30.55497835,5.09349075108052
50,0.5,0.75,0.3,3.12807434746284,3.91461435914637,3.52134435330461,0.556167775935975,40.0696131,12.4730370782191
50,0.5,0.5,0.3,3.12807434746284,3.91461435914637,3.52134435330461,0.556167775935975,46.18185615,5.04451384840977
10,0.5,0.5,0.3,4.04319112481478,4.32607674278423,4.18463393379951,0.200030338766346,9.9156399,0.564015521574788
10,0.5,0.75,0.3,4.04319112481478,4.32607674278423,4.18463393379951,0.200030338766346,14.39901025,1.77119734009394
50,0.5,0.25,0.15,12.4283008852459,5.41265223614749,8.92047656069672,4.96081273419976,147.77035025,22.2716166341577
25,0.5,0.25,0.15,12.4283008852459,7.33428403506869,9.88129246015732,3.60201385823888,79.56377745,1.83177715793718
50,0.5,0.75,0.15,15.3685380550082,6.28143131911968,10.8249846870639,6.42555479431274,133.2235808,23.1301167449632
50,0.5,0.5,0.15,15.3685380550082,6.28143131911968,10.8249846870639,6.42555479431274,153.79435865,58.1773428632233
25,0.5,0.5,0.15,15.3685380550082,6.82513341883515,11.0968357369217,6.04109935265857,56.80755845,25.5584330837186
25,0.5,0.75,0.15,15.3685380550082,6.82513341883515,11.0968357369217,6.04109935265857,79.5582686,3.89203013352796
10,0.5,0.75,0.15,15.3685380550082,8.61387841649185,11.99120823575,4.776265635002,30.96468005,3.90274697319294
10,0.5,0.5,0.15,15.3685380550082,8.61387841649185,11.99120823575,4.776265635002,31.283876,3.95337560659386
10,0.5,0.25,0.15,14.9895041107718,9.05536461048217,12.022434360627,4.19607028116175,31.2613495,4.76956393253744
